书名,作者,描述,出版社,价格
Effective Java: Second Edition,Joshua Bloch,Addison-Wesley,USD 54.99
Java性能优化权威指南,|Charlie Hunt,Binu John|,人民邮电出版社,109.00 元
数据结构与算法分析,韦斯 (Mark Allen Weiss),机械工业出版社,55.00元
Java网络编程(中文版 第三版)(O＇Reilly Java系列),（美）Elliotte Rusty Harold,中国电力出版社,85.00元
Java编程思想 （第4版）,[美] Bruce Eckel,机械工业出版社,108.00元
Scala程序设计,[美]Venkat Subramaniam,人民邮电出版社,39.00
Java程序性能优化,葛一鸣,清华大学出版社,59.00元
Clojure编程,|Chas Emerick,Brian Carper,Christophe Grand|,电子工业出版社,99.00元
Effective java 中文版（第2版）,Joshua Bloch,机械工业出版社,52.00元
How Tomcat Works,|Budi Kurniawan,Paul Deck|,BrainySoftware,USD 54.95
深入Java虚拟机(原书第2版),（美）文纳斯,机械工业出版社,58.00元
Thinking in Java (3rd Edition),Bruce Eckel,Prentice Hall PTR,USD 54.99
Java并发编程实战,|Brian Goetz,Tim Peierls,Joshua Bloch,Joseph Bowbeer,David Holmes,Doug Lea|,机械工业出版社华章公司,69.00元
编写高质量代码,秦小波,机械工业出版社华章公司,59.00元
Effective Java,Joshua Bloch,Addison-Wesley Professional,$44.99
精通Hibernate,孙卫琴,电子工业出版社,59.00元
Java,Jim Waldo,O'Reilly Media,USD 29.99
JAVA 2核心技术 卷Ⅰ,|[美] 霍斯特曼,[美] 科奈尔|,机械工业出版社,88.00元
面向对象程序设计-Java,张白一，崔尚森编著,陕西西安电子科技大学,32.00元
Practical API Design,Jaroslav Tulach,Apress,USD 74.99
